,net_name,train_type,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
162,alexnet,train_big_set_size,3,RVvRHGV,2,both,1.0,0.9916666666666667,0.008333333333333333,4.78795959963702
163,alexnet,train_big_set_size,3,RVvRHGV,4,both,1.0,0.9916666666666667,0.008333333333333333,4.78795959963702
164,alexnet,train_big_set_size,3,RVvRHGV,6,both,1.0,0.9916666666666667,0.008333333333333333,4.78795959963702
165,alexnet,train_big_set_size,3,RVvRHGV,8,both,0.975,0.9672131147540983,0.01694915254237288,3.9626055025912366
166,alexnet,train_big_set_size,3,RVvRHGV,12,both,0.9416666666666667,0.9206349206349206,0.03508771929824561,3.2201318267229873
167,alexnet,train_big_set_size,3,RVvRHGV,18,both,0.9166666666666666,0.9166666666666666,0.08333333333333333,2.765988254201276
168,alexnet,train_big_set_size,0,2_v_5,1,present,1.0,,,
169,alexnet,train_big_set_size,0,2_v_5,2,present,1.0,,,
170,alexnet,train_big_set_size,0,2_v_5,4,present,0.8833333333333333,,,
171,alexnet,train_big_set_size,0,2_v_5,6,present,0.7833333333333333,,,
172,alexnet,train_big_set_size,0,2_v_5,8,present,0.85,,,
173,alexnet,train_big_set_size,0,2_v_5,12,present,0.8333333333333334,,,
174,alexnet,train_big_set_size,0,2_v_5,18,present,0.55,,,
175,alexnet,train_big_set_size,0,2_v_5,1,absent,1.0,,,
176,alexnet,train_big_set_size,0,2_v_5,2,absent,0.9833333333333333,,,
177,alexnet,train_big_set_size,0,2_v_5,4,absent,0.7666666666666667,,,
178,alexnet,train_big_set_size,0,2_v_5,6,absent,0.5666666666666667,,,
179,alexnet,train_big_set_size,0,2_v_5,8,absent,0.4666666666666667,,,
180,alexnet,train_big_set_size,0,2_v_5,12,absent,0.5166666666666667,,,
181,alexnet,train_big_set_size,0,2_v_5,18,absent,0.7,,,
182,alexnet,train_big_set_size,0,2_v_5,1,both,1.0,0.9916666666666667,0.008333333333333333,4.78795959963702
183,alexnet,train_big_set_size,0,2_v_5,2,both,0.9916666666666667,0.9836065573770492,0.00847457627118644,4.522492231625421
184,alexnet,train_big_set_size,0,2_v_5,4,both,0.825,0.7910447761194029,0.1320754716981132,1.9266855025295921
185,alexnet,train_big_set_size,0,2_v_5,6,both,0.675,0.6438356164383562,0.2765957446808511,0.9617148465767313
186,alexnet,train_big_set_size,0,2_v_5,8,both,0.6583333333333333,0.6144578313253012,0.24324324324324326,0.9868647656762652
187,alexnet,train_big_set_size,0,2_v_5,12,both,0.675,0.6329113924050633,0.24390243902439024,1.0333786010816042
188,alexnet,train_big_set_size,0,2_v_5,18,both,0.625,0.6470588235294118,0.391304347826087,0.6533130069365138
189,alexnet,train_big_set_size,1,2_v_5,1,present,1.0,,,
190,alexnet,train_big_set_size,1,2_v_5,2,present,0.9666666666666667,,,
191,alexnet,train_big_set_size,1,2_v_5,4,present,0.8166666666666667,,,
192,alexnet,train_big_set_size,1,2_v_5,6,present,0.6,,,
193,alexnet,train_big_set_size,1,2_v_5,8,present,0.6166666666666667,,,
194,alexnet,train_big_set_size,1,2_v_5,12,present,0.65,,,
195,alexnet,train_big_set_size,1,2_v_5,18,present,0.5,,,
196,alexnet,train_big_set_size,1,2_v_5,1,absent,1.0,,,
197,alexnet,train_big_set_size,1,2_v_5,2,absent,1.0,,,
198,alexnet,train_big_set_size,1,2_v_5,4,absent,0.95,,,
199,alexnet,train_big_set_size,1,2_v_5,6,absent,0.8666666666666667,,,
200,alexnet,train_big_set_size,1,2_v_5,8,absent,0.8833333333333333,,,
