,net_name,train_type,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
116,alexnet,finetune,0,2_v_5,1,both,0.975,0.9947368421052631,0.047619047619047616,4.226433920933847
117,alexnet,finetune,0,2_v_5,2,both,0.785,0.8518518518518519,0.2605042016806723,1.6862005504980329
118,alexnet,finetune,0,2_v_5,4,both,0.635,0.6956521739130435,0.3969465648854962,0.7731947629511358
119,alexnet,finetune,0,2_v_5,8,both,0.59,0.6323529411764706,0.4318181818181818,0.5098387464417189
120,alexnet,finetune,1,2_v_5,1,present,0.99,,,
121,alexnet,finetune,1,2_v_5,2,present,0.8,,,
122,alexnet,finetune,1,2_v_5,4,present,0.64,,,
123,alexnet,finetune,1,2_v_5,8,present,0.56,,,
124,alexnet,finetune,1,2_v_5,1,absent,0.99,,,
125,alexnet,finetune,1,2_v_5,2,absent,0.85,,,
126,alexnet,finetune,1,2_v_5,4,absent,0.67,,,
127,alexnet,finetune,1,2_v_5,8,absent,0.52,,,
128,alexnet,finetune,1,2_v_5,1,both,0.99,0.99,0.01,4.6526957480816815
129,alexnet,finetune,1,2_v_5,2,both,0.825,0.8421052631578947,0.19047619047619047,1.8792908169093745
130,alexnet,finetune,1,2_v_5,4,both,0.655,0.6597938144329897,0.34951456310679613,0.7985318531366067
131,alexnet,finetune,1,2_v_5,8,both,0.54,0.5384615384615384,0.4583333333333333,0.2011920709037145
132,alexnet,finetune,2,2_v_5,1,present,0.98,,,
133,alexnet,finetune,2,2_v_5,2,present,0.84,,,
134,alexnet,finetune,2,2_v_5,4,present,0.66,,,
135,alexnet,finetune,2,2_v_5,8,present,0.72,,,
136,alexnet,finetune,2,2_v_5,1,absent,1.0,,,
137,alexnet,finetune,2,2_v_5,2,absent,0.87,,,
138,alexnet,finetune,2,2_v_5,4,absent,0.62,,,
139,alexnet,finetune,2,2_v_5,8,absent,0.63,,,
140,alexnet,finetune,2,2_v_5,1,both,0.99,0.9948979591836735,0.0196078431372549,4.63075222854786
141,alexnet,finetune,2,2_v_5,2,both,0.855,0.865979381443299,0.1553398058252427,2.12138167909199
142,alexnet,finetune,2,2_v_5,4,both,0.64,0.6346153846153846,0.3541666666666667,0.718197873080739
143,alexnet,finetune,2,2_v_5,8,both,0.675,0.6605504587155964,0.3076923076923077,0.916368120314756
144,alexnet,finetune,3,2_v_5,1,present,0.99,,,
145,alexnet,finetune,3,2_v_5,2,present,0.87,,,
146,alexnet,finetune,3,2_v_5,4,present,0.7,,,
147,alexnet,finetune,3,2_v_5,8,present,0.69,,,
148,alexnet,finetune,3,2_v_5,1,absent,0.99,,,
149,alexnet,finetune,3,2_v_5,2,absent,0.82,,,
150,alexnet,finetune,3,2_v_5,4,absent,0.55,,,
151,alexnet,finetune,3,2_v_5,8,absent,0.56,,,
152,alexnet,finetune,3,2_v_5,1,both,0.99,0.99,0.01,4.6526957480816815
153,alexnet,finetune,3,2_v_5,2,both,0.845,0.8285714285714286,0.1368421052631579,2.0431526207027066
154,alexnet,finetune,3,2_v_5,4,both,0.625,0.6086956521739131,0.35294117647058826,0.6533130069365138
155,alexnet,finetune,3,2_v_5,8,both,0.625,0.6106194690265486,0.3563218390804598,0.6492418271819523
156,alexnet,finetune,4,2_v_5,1,present,0.99,,,
157,alexnet,finetune,4,2_v_5,2,present,0.79,,,
158,alexnet,finetune,4,2_v_5,4,present,0.56,,,
159,alexnet,finetune,4,2_v_5,8,present,0.55,,,
160,alexnet,finetune,4,2_v_5,1,absent,1.0,,,
161,alexnet,finetune,4,2_v_5,2,absent,0.82,,,
162,alexnet,finetune,4,2_v_5,4,absent,0.69,,,
163,alexnet,finetune,4,2_v_5,8,absent,0.62,,,
164,alexnet,finetune,4,2_v_5,1,both,0.995,0.9949494949494949,0.009900990099009901,4.902431033730798
165,alexnet,finetune,4,2_v_5,2,both,0.805,0.8144329896907216,0.20388349514563106,1.7221808199792985
166,alexnet,finetune,4,2_v_5,4,both,0.625,0.6436781609195402,0.3893805309734513,0.6492418271819524
