,net_name,train_type,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
191,alexnet,train,1,2_v_5,8,both,0.89,0.9431818181818182,0.15178571428571427,2.6108626167151967
192,alexnet,train,2,2_v_5,1,present,1.0,,,
193,alexnet,train,2,2_v_5,2,present,1.0,,,
194,alexnet,train,2,2_v_5,4,present,0.99,,,
195,alexnet,train,2,2_v_5,8,present,0.81,,,
196,alexnet,train,2,2_v_5,1,absent,1.0,,,
197,alexnet,train,2,2_v_5,2,absent,1.0,,,
198,alexnet,train,2,2_v_5,4,absent,0.97,,,
199,alexnet,train,2,2_v_5,8,absent,0.93,,,
200,alexnet,train,2,2_v_5,1,both,1.0,0.995,0.005,5.151658607097801
201,alexnet,train,2,2_v_5,2,both,1.0,0.995,0.005,5.151658607097801
202,alexnet,train,2,2_v_5,4,both,0.98,0.9705882352941176,0.01020408163265306,4.208267931311262
203,alexnet,train,2,2_v_5,8,both,0.87,0.9204545454545454,0.16964285714285715,2.36371317908852
204,alexnet,train,3,2_v_5,1,present,0.99,,,
205,alexnet,train,3,2_v_5,2,present,0.99,,,
206,alexnet,train,3,2_v_5,4,present,0.94,,,
207,alexnet,train,3,2_v_5,8,present,0.77,,,
208,alexnet,train,3,2_v_5,1,absent,1.0,,,
209,alexnet,train,3,2_v_5,2,absent,1.0,,,
210,alexnet,train,3,2_v_5,4,absent,0.97,,,
211,alexnet,train,3,2_v_5,8,absent,0.91,,,
212,alexnet,train,3,2_v_5,1,both,0.995,0.9949494949494949,0.009900990099009901,4.902431033730798
213,alexnet,train,3,2_v_5,2,both,0.995,0.9949494949494949,0.009900990099009901,4.902431033730798
214,alexnet,train,3,2_v_5,4,both,0.955,0.9690721649484536,0.05825242718446602,3.436943279069875
215,alexnet,train,3,2_v_5,8,both,0.84,0.8953488372093024,0.20175438596491227,2.090857313396541
216,alexnet,train,0,RVvGV,1,present,1.0,,,
217,alexnet,train,0,RVvGV,2,present,1.0,,,
218,alexnet,train,0,RVvGV,4,present,1.0,,,
219,alexnet,train,0,RVvGV,8,present,1.0,,,
220,alexnet,train,0,RVvGV,1,absent,1.0,,,
221,alexnet,train,0,RVvGV,2,absent,1.0,,,
222,alexnet,train,0,RVvGV,4,absent,1.0,,,
223,alexnet,train,0,RVvGV,8,absent,1.0,,,
224,alexnet,train,0,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
225,alexnet,train,0,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
226,alexnet,train,0,RVvGV,4,both,1.0,0.995,0.005,5.151658607097801
227,alexnet,train,0,RVvGV,8,both,1.0,0.995,0.005,5.151658607097801
228,alexnet,train,1,RVvGV,1,present,1.0,,,
229,alexnet,train,1,RVvGV,2,present,1.0,,,
230,alexnet,train,1,RVvGV,4,present,1.0,,,
231,alexnet,train,1,RVvGV,8,present,1.0,,,
232,alexnet,train,1,RVvGV,1,absent,1.0,,,
233,alexnet,train,1,RVvGV,2,absent,1.0,,,
234,alexnet,train,1,RVvGV,4,absent,1.0,,,
235,alexnet,train,1,RVvGV,8,absent,1.0,,,
236,alexnet,train,1,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
237,alexnet,train,1,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
238,alexnet,train,1,RVvGV,4,both,1.0,0.995,0.005,5.151658607097801
239,alexnet,train,1,RVvGV,8,both,1.0,0.995,0.005,5.151658607097801
240,alexnet,train,2,RVvGV,1,present,1.0,,,
241,alexnet,train,2,RVvGV,2,present,1.0,,,
242,alexnet,train,2,RVvGV,4,present,1.0,,,
243,alexnet,train,2,RVvGV,8,present,1.0,,,
244,alexnet,train,2,RVvGV,1,absent,1.0,,,
245,alexnet,train,2,RVvGV,2,absent,1.0,,,
246,alexnet,train,2,RVvGV,4,absent,0.99,,,
247,alexnet,train,2,RVvGV,8,absent,1.0,,,
248,alexnet,train,2,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
249,alexnet,train,2,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
250,alexnet,train,2,RVvGV,4,both,0.995,0.9900990099009901,0.005050505050505051,4.9024310337307995
251,alexnet,train,2,RVvGV,8,both,1.0,0.995,0.005,5.151658607097801
252,alexnet,train,3,RVvGV,1,present,1.0,,,
253,alexnet,train,3,RVvGV,2,present,1.0,,,
254,alexnet,train,3,RVvGV,4,present,1.0,,,
255,alexnet,train,3,RVvGV,8,present,1.0,,,
256,alexnet,train,3,RVvGV,1,absent,1.0,,,
257,alexnet,train,3,RVvGV,2,absent,1.0,,,
258,alexnet,train,3,RVvGV,4,absent,1.0,,,
259,alexnet,train,3,RVvGV,8,absent,1.0,,,
260,alexnet,train,3,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
261,alexnet,train,3,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
262,alexnet,train,3,RVvGV,4,both,1.0,0.995,0.005,5.151658607097801
263,alexnet,train,3,RVvGV,8,both,1.0,0.995,0.005,5.151658607097801
264,alexnet,train,0,RVvRHGV,1,present,1.0,,,
265,alexnet,train,0,RVvRHGV,2,present,1.0,,,
266,alexnet,train,0,RVvRHGV,4,present,1.0,,,
267,alexnet,train,0,RVvRHGV,8,present,0.98,,,
268,alexnet,train,0,RVvRHGV,1,absent,1.0,,,
269,alexnet,train,0,RVvRHGV,2,absent,1.0,,,
270,alexnet,train,0,RVvRHGV,4,absent,1.0,,,
271,alexnet,train,0,RVvRHGV,8,absent,0.97,,,
272,alexnet,train,0,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
273,alexnet,train,0,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
274,alexnet,train,0,RVvRHGV,4,both,1.0,0.995,0.005,5.151658607097801
275,alexnet,train,0,RVvRHGV,8,both,0.975,0.9702970297029703,0.020202020202020204,3.9347712988260337
276,alexnet,train,1,RVvRHGV,1,present,1.0,,,
277,alexnet,train,1,RVvRHGV,2,present,1.0,,,
278,alexnet,train,1,RVvRHGV,4,present,1.0,,,
279,alexnet,train,1,RVvRHGV,8,present,0.95,,,
280,alexnet,train,1,RVvRHGV,1,absent,1.0,,,
281,alexnet,train,1,RVvRHGV,2,absent,1.0,,,
282,alexnet,train,1,RVvRHGV,4,absent,1.0,,,
283,alexnet,train,1,RVvRHGV,8,absent,0.96,,,
284,alexnet,train,1,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
285,alexnet,train,1,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
286,alexnet,train,1,RVvRHGV,4,both,1.0,0.995,0.005,5.151658607097801
287,alexnet,train,1,RVvRHGV,8,both,0.955,0.9595959595959596,0.04950495049504951,3.39568920205269
288,alexnet,train,2,RVvRHGV,1,present,1.0,,,
289,alexnet,train,2,RVvRHGV,2,present,1.0,,,
290,alexnet,train,2,RVvRHGV,4,present,1.0,,,
291,alexnet,train,2,RVvRHGV,8,present,0.96,,,
292,alexnet,train,2,RVvRHGV,1,absent,1.0,,,
293,alexnet,train,2,RVvRHGV,2,absent,1.0,,,
294,alexnet,train,2,RVvRHGV,4,absent,1.0,,,
295,alexnet,train,2,RVvRHGV,8,absent,0.96,,,
296,alexnet,train,2,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
297,alexnet,train,2,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
298,alexnet,train,2,RVvRHGV,4,both,1.0,0.995,0.005,5.151658607097801
299,alexnet,train,2,RVvRHGV,8,both,0.96,0.96,0.04,3.501372142504339
300,alexnet,train,3,RVvRHGV,1,present,1.0,,,
301,alexnet,train,3,RVvRHGV,2,present,1.0,,,
302,alexnet,train,3,RVvRHGV,4,present,1.0,,,
303,alexnet,train,3,RVvRHGV,8,present,0.96,,,
304,alexnet,train,3,RVvRHGV,1,absent,1.0,,,
305,alexnet,train,3,RVvRHGV,2,absent,1.0,,,
306,alexnet,train,3,RVvRHGV,4,absent,1.0,,,
307,alexnet,train,3,RVvRHGV,8,absent,0.96,,,
308,alexnet,train,3,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
309,alexnet,train,3,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
310,alexnet,train,3,RVvRHGV,4,both,1.0,0.995,0.005,5.151658607097801
311,alexnet,train,3,RVvRHGV,8,both,0.96,0.96,0.04,3.501372142504339
